market,file,unique_realtors,direct_contact_available,needs_enrichment,multi_market_realtors
chatham_kent,commercial-realtors-chatham-kent.csv,29,29,0,4
london_middlesex,commercial-realtors-london-middlesex.csv,82,82,0,16
sarnia_lambton_county,commercial-realtors-sarnia-lambton-county.csv,10,10,0,1
waterloo_region,commercial-realtors-waterloo-region.csv,78,78,0,13
windsor_essex,commercial-realtors-windsor-essex.csv,57,55,2,6
woodstock_oxford_county,commercial-realtors-woodstock-oxford-county.csv,51,51,0,8
